Date,Product,Category,Region,Country,City,Budget,Actuals,Channel,Quarter,Month
2024-07-01,Food Safety Software,Premium Foods,Europe,Germany,Stuttgart,289282,256864,Online,2024-Q3,2024-07
2024-07-01,Artisan Bakery Products,Restaurant Services,Europe,Germany,Leipzig,304393,284649,Retail,2024-Q3,2024-07
2024-07-01,Craft Beer Selection,Food Technology,Asia Pacific,Australia,Perth,146278,103581,Retail,2024-Q3,2024-07
2024-07-01,Premium Wine Collection,Restaurant Services,Asia Pacific,Australia,Sunshine Coast,148790,152170,Partner,2024-Q3,2024-07
2024-07-01,Nutrition Tracking App,Catering Solutions,Europe,United Kingdom,Edinburgh,240148,309412,Partner,2024-Q3,2024-07
2024-07-01,Organic Produce Box,Premium Foods,Asia Pacific,Japan,Kyoto,234876,181188,Direct Sales,2024-Q3,2024-07
2024-07-01,Kitchen Equipment Solution,Food Technology,Europe,United Kingdom,London,224148,287505,Online,2024-Q3,2024-07
2024-07-01,Gourmet Food Collection,Premium Foods,Asia Pacific,Australia,Melbourne,78113,63982,Retail,2024-Q3,2024-07
2024-07-01,Artisan Bakery Products,Food Technology,North America,Mexico,Nezahualcóyotl,207232,192122,Direct Sales,2024-Q3,2024-07
2024-07-01,Event Catering Package,Beverages,North America,Mexico,Juárez,242166,303174,Mobile App,2024-Q3,2024-07
2024-07-01,Recipe Management System,Food Technology,Europe,France,Nantes,67614,62562,Wholesale,2024-Q3,2024-07
2024-07-01,Corporate Catering Service,Catering Solutions,North America,United States,Phoenix,289357,330469,Direct Sales,2024-Q3,2024-07
2024-07-01,Food Delivery Platform,Restaurant Services,North America,Mexico,Zapopan,143486,118147,Direct Sales,2024-Q3,2024-07
2024-07-01,Food Safety Software,Catering Solutions,Asia Pacific,Singapore,North,87852,73326,Partner,2024-Q3,2024-07
2024-07-01,Gourmet Food Collection,Premium Foods,Europe,France,Marseille,212950,278462,Retail,2024-Q3,2024-07
2024-07-01,Craft Beer Selection,Beverages,Asia Pacific,Japan,Kyoto,154397,169914,Partner,2024-Q3,2024-07
2024-07-01,Food Delivery Platform,Beverages,Europe,Germany,Berlin,75198,89558,Wholesale,2024-Q3,2024-07
2024-07-01,Gourmet Food Collection,Beverages,North America,United States,San Diego,165140,209412,Wholesale,2024-Q3,2024-07
2024-07-01,Restaurant POS System,Food Technology,North America,Mexico,Juárez,152483,123162,Wholesale,2024-Q3,2024-07
2024-07-01,Specialty Coffee Blend,Catering Solutions,Europe,United Kingdom,Sheffield,222103,201819,Partner,2024-Q3,2024-07
2024-07-01,Fine Dining Experience,Beverages,Asia Pacific,Singapore,East,176043,137593,Direct Sales,2024-Q3,2024-07
2024-07-01,Specialty Coffee Blend,Restaurant Services,Asia Pacific,Australia,Melbourne,150487,128105,Wholesale,2024-Q3,2024-07
2024-07-01,Restaurant POS System,Premium Foods,Asia Pacific,Australia,Adelaide,261540,278738,Direct Sales,2024-Q3,2024-07
2024-07-02,Craft Beer Selection,Food Technology,North America,Canada,Edmonton,234872,204507,Online,2024-Q3,2024-07
2024-07-02,Food Safety Software,Restaurant Services,North America,United States,Los Angeles,113679,131189,Mobile App,2024-Q3,2024-07
2024-07-02,Kitchen Equipment Solution,Premium Foods,Europe,France,Strasbourg,254872,316408,Partner,2024-Q3,2024-07
2024-07-02,Organic Produce Box,Premium Foods,North America,Canada,Quebec City,210739,242033,Mobile App,2024-Q3,2024-07
2024-07-02,Food Safety Software,Restaurant Services,Europe,Germany,Leipzig,91365,94505,Online,2024-Q3,2024-07
2024-07-02,Artisan Bakery Products,Food Technology,Europe,France,Lyon,155565,184025,Partner,2024-Q3,2024-07
2024-07-02,Event Catering Package,Restaurant Services,Asia Pacific,Australia,Brisbane,138793,113312,Wholesale,2024-Q3,2024-07
2024-07-02,Premium Wine Collection,Catering Solutions,Europe,France,Bordeaux,278133,195475,Direct Sales,2024-Q3,2024-07
2024-07-02,Organic Produce Box,Catering Solutions,North America,Mexico,Puebla,263558,329034,Retail,2024-Q3,2024-07
2024-07-02,Event Catering Package,Food Technology,Europe,France,Toulouse,179535,174234,Mobile App,2024-Q3,2024-07
2024-07-02,Event Catering Package,Food Technology,North America,United States,New York,237274,214127,Direct Sales,2024-Q3,2024-07
2024-07-02,Food Safety Software,Beverages,North America,Mexico,Mexico City,105663,137529,Partner,2024-Q3,2024-07
2024-07-02,Specialty Coffee Blend,Catering Solutions,Europe,United Kingdom,Bristol,245757,287039,Partner,2024-Q3,2024-07
2024-07-02,Food Safety Software,Catering Solutions,Europe,France,Lyon,133524,157829,Mobile App,2024-Q3,2024-07
2024-07-02,Premium Wine Collection,Beverages,North America,Canada,Winnipeg,200877,161576,Wholesale,2024-Q3,2024-07
2024-07-02,Restaurant POS System,Premium Foods,North America,Canada,Hamilton,190979,179036,Mobile App,2024-Q3,2024-07
2024-07-02,Food Delivery Platform,Catering Solutions,North America,Mexico,Zapopan,306127,426101,Retail,2024-Q3,2024-07
2024-07-02,Premium Wine Collection,Beverages,Asia Pacific,Australia,Brisbane,264762,201473,Direct Sales,2024-Q3,2024-07
2024-07-02,Food Safety Software,Food Technology,Europe,United Kingdom,Sheffield,207704,263527,Online,2024-Q3,2024-07
2024-07-02,Fine Dining Experience,Beverages,North America,United States,Philadelphia,93542,69007,Mobile App,2024-Q3,2024-07
2024-07-02,Event Catering Package,Premium Foods,Europe,Germany,Düsseldorf,190377,204914,Online,2024-Q3,2024-07
2024-07-02,Premium Wine Collection,Premium Foods,Europe,France,Lille,144069,168386,Online,2024-Q3,2024-07
2024-07-02,Fine Dining Experience,Restaurant Services,Europe,Germany,Munich,226093,254672,Online,2024-Q3,2024-07
2024-07-02,Food Delivery Platform,Premium Foods,North America,United States,New York,149419,186495,Wholesale,2024-Q3,2024-07
2024-07-02,Nutrition Tracking App,Catering Solutions,North America,Canada,Calgary,112460,113971,Partner,2024-Q3,2024-07
2024-07-02,Recipe Management System,Catering Solutions,Asia Pacific,Australia,Sunshine Coast,210566,187451,Retail,2024-Q3,2024-07
2024-07-02,Kitchen Equipment Solution,Premium Foods,Asia Pacific,Australia,Adelaide,87375,108164,Partner,2024-Q3,2024-07
2024-07-02,Food Safety Software,Catering Solutions,North America,Mexico,Puebla,79608,83351,Partner,2024-Q3,2024-07
2024-07-02,Food Delivery Platform,Restaurant Services,Asia Pacific,Australia,Perth,82576,103332,Retail,2024-Q3,2024-07
2024-07-02,Specialty Coffee Blend,Restaurant Services,North America,Mexico,Nezahualcóyotl,129753,153494,Partner,2024-Q3,2024-07
2024-07-02,Specialty Coffee Blend,Beverages,Asia Pacific,Japan,Fukuoka,70091,74832,Wholesale,2024-Q3,2024-07
2024-07-02,Organic Produce Box,Premium Foods,North America,Mexico,Chihuahua,173949,174363,Partner,2024-Q3,2024-07
2024-07-02,Gourmet Food Collection,Premium Foods,Europe,Germany,Berlin,216035,255183,Mobile App,2024-Q3,2024-07
2024-07-03,Nutrition Tracking App,Food Technology,Asia Pacific,Singapore,West,194614,175544,Retail,2024-Q3,2024-07
2024-07-03,Organic Produce Box,Food Technology,Europe,United Kingdom,Liverpool,101445,136437,Online,2024-Q3,2024-07
2024-07-03,Organic Produce Box,Premium Foods,North America,United States,San Diego,397308,470419,Direct Sales,2024-Q3,2024-07
2024-07-03,Fine Dining Experience,Beverages,Asia Pacific,Australia,Gold Coast,114024,146240,Direct Sales,2024-Q3,2024-07
2024-07-03,Food Delivery Platform,Beverages,North America,Mexico,Zapopan,307014,228660,Direct Sales,2024-Q3,2024-07
2024-07-03,Food Delivery Platform,Restaurant Services,Asia Pacific,Singapore,West,91636,85029,Retail,2024-Q3,2024-07
2024-07-03,Nutrition Tracking App,Beverages,Europe,France,Nice,211164,282231,Mobile App,2024-Q3,2024-07
2024-07-03,Specialty Coffee Blend,Catering Solutions,Europe,United Kingdom,Glasgow,124602,169398,Online,2024-Q3,2024-07
2024-07-03,Organic Produce Box,Beverages,Europe,United Kingdom,Glasgow,136098,151503,Mobile App,2024-Q3,2024-07
2024-07-03,Organic Produce Box,Food Technology,Asia Pacific,Singapore,North,61387,49390,Online,2024-Q3,2024-07
2024-07-03,Corporate Catering Service,Catering Solutions,Europe,Germany,Munich,127063,116951,Mobile App,2024-Q3,2024-07
2024-07-03,Corporate Catering Service,Premium Foods,Asia Pacific,Australia,Melbourne,217790,242497,Retail,2024-Q3,2024-07
2024-07-03,Food Safety Software,Beverages,North America,United States,Phoenix,298749,227650,Direct Sales,2024-Q3,2024-07
2024-07-03,Nutrition Tracking App,Beverages,North America,Mexico,Monterrey,158201,220668,Partner,2024-Q3,2024-07
2024-07-03,Organic Produce Box,Beverages,Asia Pacific,Japan,Tokyo,249271,180260,Direct Sales,2024-Q3,2024-07
2024-07-03,Specialty Coffee Blend,Catering Solutions,Europe,France,Lille,152132,153478,Online,2024-Q3,2024-07
2024-07-03,Fine Dining Experience,Beverages,Europe,United Kingdom,Bristol,125733,97974,Mobile App,2024-Q3,2024-07
2024-07-03,Food Delivery Platform,Beverages,Europe,Germany,Stuttgart,205201,258556,Partner,2024-Q3,2024-07
2024-07-03,Nutrition Tracking App,Restaurant Services,Asia Pacific,Singapore,West,124705,125455,Mobile App,2024-Q3,2024-07
2024-07-03,Food Safety Software,Beverages,Europe,Germany,Stuttgart,337028,280790,Direct Sales,2024-Q3,2024-07
2024-07-03,Specialty Coffee Blend,Beverages,Asia Pacific,Singapore,Central,234390,178977,Direct Sales,2024-Q3,2024-07
2024-07-03,Food Delivery Platform,Premium Foods,Europe,Germany,Frankfurt,313608,287142,Retail,2024-Q3,2024-07
2024-07-03,Kitchen Equipment Solution,Restaurant Services,Asia Pacific,Australia,Melbourne,121511,127851,Mobile App,2024-Q3,2024-07
2024-07-03,Corporate Catering Service,Premium Foods,North America,Canada,Vancouver,100796,98578,Partner,2024-Q3,2024-07
2024-07-04,Event Catering Package,Beverages,Europe,Germany,Dortmund,206138,247972,Mobile App,2024-Q3,2024-07
2024-07-04,Food Delivery Platform,Food Technology,North America,United States,Houston,155174,117747,Partner,2024-Q3,2024-07
2024-07-04,Artisan Bakery Products,Catering Solutions,Europe,France,Montpellier,156565,204880,Retail,2024-Q3,2024-07
2024-07-04,Event Catering Package,Beverages,Europe,United Kingdom,Birmingham,74806,62158,Mobile App,2024-Q3,2024-07
2024-07-04,Corporate Catering Service,Beverages,Asia Pacific,Australia,Brisbane,153617,126583,Online,2024-Q3,2024-07
2024-07-04,Fine Dining Experience,Restaurant Services,Europe,United Kingdom,Bristol,172488,128497,Wholesale,2024-Q3,2024-07
2024-07-04,Organic Produce Box,Premium Foods,Europe,France,Lille,166641,166087,Direct Sales,2024-Q3,2024-07
2024-07-04,Recipe Management System,Restaurant Services,Europe,France,Montpellier,77366,65832,Mobile App,2024-Q3,2024-07
2024-07-04,Fine Dining Experience,Food Technology,North America,Canada,Winnipeg,225943,182664,Online,2024-Q3,2024-07
2024-07-04,Recipe Management System,Premium Foods,Asia Pacific,Singapore,North,181279,193213,Online,2024-Q3,2024-07
2024-07-04,Restaurant POS System,Premium Foods,Europe,France,Montpellier,112853,127280,Wholesale,2024-Q3,2024-07
2024-07-04,Craft Beer Selection,Restaurant Services,Europe,United Kingdom,Edinburgh,295808,304753,Direct Sales,2024-Q3,2024-07
2024-07-04,Kitchen Equipment Solution,Food Technology,Asia Pacific,Japan,Osaka,125212,115249,Retail,2024-Q3,2024-07
2024-07-04,Organic Produce Box,Restaurant Services,Asia Pacific,Australia,Melbourne,86820,117736,Online,2024-Q3,2024-07
2024-07-04,Event Catering Package,Premium Foods,Asia Pacific,Singapore,Central,160889,156311,Wholesale,2024-Q3,2024-07
2024-07-04,Specialty Coffee Blend,Food Technology,Europe,Germany,Berlin,192470,148906,Retail,2024-Q3,2024-07
2024-07-04,Fine Dining Experience,Catering Solutions,Asia Pacific,Australia,Sydney,102452,114131,Partner,2024-Q3,2024-07
2024-07-04,Restaurant POS System,Food Technology,Asia Pacific,Australia,Sunshine Coast,109441,144178,Retail,2024-Q3,2024-07
2024-07-04,Craft Beer Selection,Beverages,North America,Canada,Winnipeg,290500,389285,Direct Sales,2024-Q3,2024-07
2024-07-04,Recipe Management System,Beverages,Europe,Germany,Munich,278468,300180,Partner,2024-Q3,2024-07
2024-07-04,Recipe Management System,Catering Solutions,Asia Pacific,Australia,Newcastle,84137,70209,Partner,2024-Q3,2024-07
2024-07-04,Nutrition Tracking App,Catering Solutions,North America,Mexico,León,139650,121865,Online,2024-Q3,2024-07
2024-07-04,Restaurant POS System,Restaurant Services,Asia Pacific,Japan,Fukuoka,126297,128849,Retail,2024-Q3,2024-07
2024-07-04,Food Delivery Platform,Premium Foods,Asia Pacific,Singapore,Central,98677,72926,Mobile App,2024-Q3,2024-07
2024-07-04,Event Catering Package,Catering Solutions,Europe,Germany,Berlin,132401,104646,Retail,2024-Q3,2024-07
2024-07-04,Restaurant POS System,Restaurant Services,Asia Pacific,Singapore,Central,173191,148130,Direct Sales,2024-Q3,2024-07
2024-07-04,Corporate Catering Service,Restaurant Services,Asia Pacific,Japan,Tokyo,148462,135562,Wholesale,2024-Q3,2024-07
2024-07-04,Nutrition Tracking App,Food Technology,Asia Pacific,Singapore,North,101681,89340,Retail,2024-Q3,2024-07
2024-07-04,Specialty Coffee Blend,Restaurant Services,Asia Pacific,Singapore,North,170127,126372,Partner,2024-Q3,2024-07
2024-07-04,Specialty Coffee Blend,Premium Foods,Europe,France,Nice,80783,91812,Wholesale,2024-Q3,2024-07
2024-07-05,Food Safety Software,Catering Solutions,Asia Pacific,Australia,Sunshine Coast,144199,133133,Mobile App,2024-Q3,2024-07
2024-07-05,Kitchen Equipment Solution,Beverages,Asia Pacific,Australia,Canberra,123360,115906,Online,2024-Q3,2024-07
2024-07-05,Craft Beer Selection,Restaurant Services,Asia Pacific,Australia,Sydney,140673,110554,Wholesale,2024-Q3,2024-07
2024-07-05,Restaurant POS System,Beverages,Asia Pacific,Japan,Tokyo,121401,88819,Wholesale,2024-Q3,2024-07
2024-07-05,Specialty Coffee Blend,Premium Foods,Asia Pacific,Singapore,Central,111833,93731,Partner,2024-Q3,2024-07
2024-07-05,Nutrition Tracking App,Premium Foods,Asia Pacific,Australia,Perth,246014,308518,Direct Sales,2024-Q3,2024-07
2024-07-05,Event Catering Package,Restaurant Services,Europe,United Kingdom,London,189516,207120,Mobile App,2024-Q3,2024-07
2024-07-05,Specialty Coffee Blend,Premium Foods,Asia Pacific,Australia,Wollongong,124714,111541,Mobile App,2024-Q3,2024-07
2024-07-05,Gourmet Food Collection,Premium Foods,Asia Pacific,Japan,Kawasaki,81912,95990,Wholesale,2024-Q3,2024-07
2024-07-05,Nutrition Tracking App,Food Technology,North America,Canada,Montreal,178597,178833,Wholesale,2024-Q3,2024-07
2024-07-05,Kitchen Equipment Solution,Beverages,Asia Pacific,Singapore,North,110994,150692,Online,2024-Q3,2024-07
2024-07-05,Organic Produce Box,Restaurant Services,Asia Pacific,Australia,Newcastle,277191,261743,Direct Sales,2024-Q3,2024-07
2024-07-05,Premium Wine Collection,Food Technology,Europe,United Kingdom,Birmingham,103004,140082,Mobile App,2024-Q3,2024-07
2024-07-05,Event Catering Package,Beverages,North America,United States,Chicago,132151,167656,Mobile App,2024-Q3,2024-07
2024-07-05,Fine Dining Experience,Premium Foods,Asia Pacific,Australia,Wollongong,202410,281531,Partner,2024-Q3,2024-07
2024-07-05,Food Delivery Platform,Food Technology,Asia Pacific,Singapore,East,97669,92168,Online,2024-Q3,2024-07
2024-07-05,Organic Produce Box,Food Technology,North America,Canada,Ottawa,254414,266240,Retail,2024-Q3,2024-07
2024-07-05,Organic Produce Box,Restaurant Services,Asia Pacific,Japan,Kawasaki,74866,68280,Mobile App,2024-Q3,2024-07
2024-07-05,Organic Produce Box,Food Technology,Asia Pacific,Japan,Kawasaki,49000,63601,Mobile App,2024-Q3,2024-07
2024-07-05,Recipe Management System,Food Technology,Asia Pacific,Singapore,Northeast,91983,125685,Mobile App,2024-Q3,2024-07
2024-07-05,Nutrition Tracking App,Beverages,North America,Mexico,Puebla,132551,102547,Mobile App,2024-Q3,2024-07
2024-07-05,Gourmet Food Collection,Premium Foods,Asia Pacific,Japan,Sapporo,102542,72899,Retail,2024-Q3,2024-07
2024-07-05,Premium Wine Collection,Food Technology,North America,Canada,Mississauga,64857,60922,Wholesale,2024-Q3,2024-07
2024-07-05,Nutrition Tracking App,Restaurant Services,Asia Pacific,Singapore,Northeast,253610,212671,Direct Sales,2024-Q3,2024-07
2024-07-05,Nutrition Tracking App,Beverages,Asia Pacific,Japan,Sapporo,215514,289497,Online,2024-Q3,2024-07
2024-07-05,Corporate Catering Service,Beverages,North America,United States,Phoenix,180887,179880,Retail,2024-Q3,2024-07
2024-07-06,Nutrition Tracking App,Premium Foods,North America,Canada,Calgary,247598,269119,Mobile App,2024-Q3,2024-07
2024-07-06,Food Delivery Platform,Catering Solutions,Asia Pacific,Japan,Nagoya,97339,128695,Partner,2024-Q3,2024-07
2024-07-06,Gourmet Food Collection,Restaurant Services,North America,Canada,Vancouver,318078,423043,Direct Sales,2024-Q3,2024-07
2024-07-06,Nutrition Tracking App,Beverages,North America,Canada,Quebec City,188630,251727,Mobile App,2024-Q3,2024-07
2024-07-06,Nutrition Tracking App,Food Technology,North America,Mexico,Chihuahua,245160,296573,Online,2024-Q3,2024-07
2024-07-06,Kitchen Equipment Solution,Beverages,Europe,France,Paris,309144,290478,Retail,2024-Q3,2024-07
2024-07-06,Event Catering Package,Catering Solutions,Europe,France,Toulouse,198099,140069,Online,2024-Q3,2024-07
2024-07-06,Food Safety Software,Premium Foods,Europe,France,Toulouse,220896,276140,Retail,2024-Q3,2024-07
2024-07-06,Organic Produce Box,Restaurant Services,Asia Pacific,Singapore,East,127527,94670,Online,2024-Q3,2024-07
2024-07-06,Artisan Bakery Products,Restaurant Services,North America,United States,San Antonio,232880,320135,Retail,2024-Q3,2024-07
2024-07-06,Food Delivery Platform,Premium Foods,Asia Pacific,Australia,Perth,197807,155793,Online,2024-Q3,2024-07
2024-07-06,Premium Wine Collection,Beverages,Europe,France,Lyon,255622,345845,Retail,2024-Q3,2024-07
2024-07-06,Fine Dining Experience,Catering Solutions,Europe,United Kingdom,Cardiff,221903,255239,Retail,2024-Q3,2024-07
2024-07-06,Restaurant POS System,Beverages,Europe,Germany,Essen,117355,96880,Retail,2024-Q3,2024-07
2024-07-06,Recipe Management System,Beverages,Asia Pacific,Japan,Saitama,115145,112184,Partner,2024-Q3,2024-07
2024-07-06,Specialty Coffee Blend,Food Technology,North America,Mexico,Tijuana,119090,164390,Online,2024-Q3,2024-07
2024-07-06,Artisan Bakery Products,Restaurant Services,Asia Pacific,Singapore,West,129850,101485,Online,2024-Q3,2024-07
2024-07-06,Gourmet Food Collection,Catering Solutions,Europe,France,Marseille,150839,142105,Online,2024-Q3,2024-07
2024-07-06,Nutrition Tracking App,Beverages,North America,United States,New York,239977,180826,Partner,2024-Q3,2024-07
2024-07-06,Restaurant POS System,Food Technology,Asia Pacific,Japan,Kawasaki,140884,127586,Mobile App,2024-Q3,2024-07
2024-07-06,Event Catering Package,Restaurant Services,North America,Canada,Vancouver,131420,152477,Partner,2024-Q3,2024-07
2024-07-06,Event Catering Package,Premium Foods,North America,United States,San Jose,193094,211403,Mobile App,2024-Q3,2024-07
2024-07-06,Event Catering Package,Food Technology,Asia Pacific,Singapore,East,167111,207812,Wholesale,2024-Q3,2024-07
2024-07-06,Food Delivery Platform,Catering Solutions,Asia Pacific,Japan,Kyoto,72121,69413,Online,2024-Q3,2024-07
2024-07-06,Corporate Catering Service,Catering Solutions,Europe,France,Bordeaux,123575,156352,Online,2024-Q3,2024-07
2024-07-06,Nutrition Tracking App,Restaurant Services,North America,Canada,Winnipeg,396475,284115,Direct Sales,2024-Q3,2024-07
2024-07-06,Fine Dining Experience,Catering Solutions,North America,Canada,Vancouver,174906,182496,Wholesale,2024-Q3,2024-07
2024-07-06,Specialty Coffee Blend,Restaurant Services,North America,United States,San Antonio,285722,250023,Retail,2024-Q3,2024-07
2024-07-06,Restaurant POS System,Catering Solutions,Asia Pacific,Australia,Sydney,52176,39382,Wholesale,2024-Q3,2024-07
2024-07-06,Food Delivery Platform,Restaurant Services,Asia Pacific,Singapore,North,222728,247623,Direct Sales,2024-Q3,2024-07
2024-07-06,Restaurant POS System,Catering Solutions,North America,United States,Dallas,229818,218959,Direct Sales,2024-Q3,2024-07
2024-07-06,Craft Beer Selection,Catering Solutions,Asia Pacific,Australia,Brisbane,302132,383217,Direct Sales,2024-Q3,2024-07
2024-07-06,Recipe Management System,Premium Foods,Europe,United Kingdom,Cardiff,167515,202197,Wholesale,2024-Q3,2024-07
2024-07-06,Fine Dining Experience,Restaurant Services,Europe,Germany,Frankfurt,96567,81145,Retail,2024-Q3,2024-07
2024-07-06,Organic Produce Box,Beverages,North America,Canada,Ottawa,80357,96064,Retail,2024-Q3,2024-07
2024-07-06,Fine Dining Experience,Premium Foods,Asia Pacific,Japan,Kobe,122465,112129,Wholesale,2024-Q3,2024-07
2024-07-07,Restaurant POS System,Restaurant Services,Asia Pacific,Singapore,Northeast,46230,53432,Wholesale,2024-Q3,2024-07
2024-07-07,Gourmet Food Collection,Restaurant Services,North America,Canada,Calgary,380939,313586,Direct Sales,2024-Q3,2024-07
2024-07-07,Specialty Coffee Blend,Restaurant Services,Asia Pacific,Singapore,East,57755,65787,Retail,2024-Q3,2024-07
2024-07-07,Specialty Coffee Blend,Restaurant Services,Asia Pacific,Japan,Saitama,252702,201396,Direct Sales,2024-Q3,2024-07
2024-07-07,Gourmet Food Collection,Food Technology,North America,Mexico,Guadalajara,111597,81391,Wholesale,2024-Q3,2024-07
2024-07-07,Recipe Management System,Premium Foods,North America,Mexico,Zapopan,183164,129180,Wholesale,2024-Q3,2024-07
2024-07-07,Organic Produce Box,Food Technology,Europe,Germany,Munich,163204,134333,Retail,2024-Q3,2024-07
2024-07-07,Restaurant POS System,Beverages,Asia Pacific,Singapore,Central,264052,198607,Retail,2024-Q3,2024-07
2024-07-07,Artisan Bakery Products,Premium Foods,North America,Mexico,Tijuana,73010,61384,Wholesale,2024-Q3,2024-07
2024-07-07,Food Delivery Platform,Restaurant Services,North America,Canada,Vancouver,76210,86324,Wholesale,2024-Q3,2024-07
2024-07-07,Corporate Catering Service,Premium Foods,Europe,France,Toulouse,209438,226968,Mobile App,2024-Q3,2024-07
2024-07-07,Food Delivery Platform,Food Technology,Europe,Germany,Frankfurt,187732,213710,Direct Sales,2024-Q3,2024-07
2024-07-07,Organic Produce Box,Catering Solutions,Asia Pacific,Japan,Osaka,141676,117885,Retail,2024-Q3,2024-07
2024-07-07,Food Delivery Platform,Beverages,Asia Pacific,Singapore,West,68483,79593,Retail,2024-Q3,2024-07
2024-07-07,Food Safety Software,Restaurant Services,Europe,United Kingdom,Manchester,129565,133052,Partner,2024-Q3,2024-07
2024-07-07,Specialty Coffee Blend,Beverages,Asia Pacific,Singapore,Northeast,166189,121441,Online,2024-Q3,2024-07
2024-07-07,Specialty Coffee Blend,Restaurant Services,North America,Canada,Toronto,261354,235093,Mobile App,2024-Q3,2024-07
2024-07-07,Food Safety Software,Food Technology,Europe,France,Toulouse,251055,270608,Direct Sales,2024-Q3,2024-07
2024-07-07,Artisan Bakery Products,Catering Solutions,North America,United States,Houston,186177,188860,Online,2024-Q3,2024-07
2024-07-07,Kitchen Equipment Solution,Restaurant Services,Europe,United Kingdom,Manchester,229632,235485,Retail,2024-Q3,2024-07
2024-07-07,Kitchen Equipment Solution,Catering Solutions,Asia Pacific,Singapore,Northeast,215524,174155,Partner,2024-Q3,2024-07
2024-07-07,Restaurant POS System,Restaurant Services,North America,Canada,Calgary,357085,311617,Retail,2024-Q3,2024-07
2024-07-07,Food Safety Software,Premium Foods,Asia Pacific,Japan,Saitama,132408,173114,Online,2024-Q3,2024-07
2024-07-07,Gourmet Food Collection,Premium Foods,Europe,Germany,Leipzig,173172,147794,Partner,2024-Q3,2024-07
2024-07-07,Event Catering Package,Catering Solutions,North America,Mexico,Puebla,213645,277356,Online,2024-Q3,2024-07
2024-07-07,Food Safety Software,Food Technology,North America,Canada,Mississauga,215416,244488,Retail,2024-Q3,2024-07
2024-07-07,Food Delivery Platform,Catering Solutions,North America,United States,San Antonio,222720,259249,Retail,2024-Q3,2024-07
2024-07-07,Recipe Management System,Restaurant Services,Asia Pacific,Australia,Newcastle,174884,212092,Direct Sales,2024-Q3,2024-07
2024-07-07,Specialty Coffee Blend,Catering Solutions,Asia Pacific,Australia,Melbourne,102184,118642,Retail,2024-Q3,2024-07
2024-07-07,Nutrition Tracking App,Restaurant Services,Asia Pacific,Japan,Tokyo,97297,104812,Mobile App,2024-Q3,2024-07
2024-07-07,Specialty Coffee Blend,Catering Solutions,North America,Canada,Vancouver,122486,144590,Mobile App,2024-Q3,2024-07
2024-07-07,Specialty Coffee Blend,Food Technology,Asia Pacific,Australia,Sydney,197940,262530,Retail,2024-Q3,2024-07
2024-07-07,Premium Wine Collection,Catering Solutions,Asia Pacific,Singapore,Central,195747,155720,Wholesale,2024-Q3,2024-07
2024-07-07,Food Delivery Platform,Catering Solutions,Europe,Germany,Essen,64398,81399,Online,2024-Q3,2024-07
2024-07-07,Craft Beer Selection,Beverages,Asia Pacific,Australia,Perth,310255,319223,Direct Sales,2024-Q3,2024-07
2024-07-07,Food Safety Software,Food Technology,Asia Pacific,Singapore,East,61487,51892,Wholesale,2024-Q3,2024-07
2024-07-07,Recipe Management System,Food Technology,Europe,France,Toulouse,74353,68241,Partner,2024-Q3,2024-07
