Date,Product,Category,Region,Country,City,Budget,Actuals,Channel,Quarter,Month
2025-01-13,Automotive Safety Module,Industrial Equipment,North America,Mexico,Puebla,339840,311278,Mobile App,2025-Q1,2025-01
2025-01-13,Automotive Safety Module,Quality Control,Asia Pacific,Australia,Newcastle,413371,575819,Partner,2025-Q1,2025-01
2025-01-14,Industrial Robot System,Supply Chain,Asia Pacific,Singapore,Central,93566,100545,Wholesale,2025-Q1,2025-01
2025-01-14,Logistics Tracking System,Automotive Parts,Asia Pacific,Singapore,West,136592,163963,Mobile App,2025-Q1,2025-01
2025-01-14,Heavy Machinery Equipment,Supply Chain,North America,United States,San Antonio,354760,461290,Online,2025-Q1,2025-01
2025-01-15,Vehicle Diagnostic Tool,Industrial Equipment,North America,Mexico,Juárez,121233,118255,Partner,2025-Q1,2025-01
2025-01-15,Automotive Safety Module,Industrial Equipment,Asia Pacific,Japan,Tokyo,198811,224907,Partner,2025-Q1,2025-01
2025-01-16,Quality Assurance Software,Quality Control,North America,Canada,Mississauga,588187,710902,Retail,2025-Q1,2025-01
2025-01-16,Process Control Software,Automotive Parts,North America,United States,San Jose,366869,336792,Partner,2025-Q1,2025-01
2025-01-16,Inventory Management Platform,Quality Control,Asia Pacific,Singapore,Northeast,209684,172684,Partner,2025-Q1,2025-01
2025-01-16,Logistics Tracking System,Industrial Equipment,Europe,France,Paris,123279,129286,Mobile App,2025-Q1,2025-01
2025-01-17,CNC Machining Center,Automotive Parts,Asia Pacific,Japan,Saitama,147565,158633,Partner,2025-Q1,2025-01
2025-01-17,Precision Manufacturing Tool,Production Machinery,Europe,United Kingdom,Birmingham,471090,639455,Direct Sales,2025-Q1,2025-01
2025-01-17,Automated Production Line,Automotive Parts,North America,Mexico,León,249148,229778,Wholesale,2025-Q1,2025-01
2025-01-18,Vehicle Diagnostic Tool,Automotive Parts,Europe,Germany,Frankfurt,376181,289570,Online,2025-Q1,2025-01
2025-01-18,Industrial Robot System,Supply Chain,Asia Pacific,Japan,Kobe,201537,191507,Wholesale,2025-Q1,2025-01
2025-01-18,Quality Inspection System,Supply Chain,Asia Pacific,Singapore,Northeast,196698,141221,Retail,2025-Q1,2025-01
2025-01-19,Logistics Tracking System,Automotive Parts,Europe,United Kingdom,Manchester,415062,434335,Online,2025-Q1,2025-01
2025-01-19,Inventory Management Platform,Quality Control,Asia Pacific,Singapore,East,145056,166583,Wholesale,2025-Q1,2025-01
2025-01-20,Automated Production Line,Automotive Parts,North America,Canada,Calgary,189045,201833,Partner,2025-Q1,2025-01
2025-01-20,Industrial Robot System,Supply Chain,Europe,United Kingdom,Glasgow,245985,234070,Retail,2025-Q1,2025-01
2025-01-20,Quality Assurance Software,Industrial Equipment,Europe,France,Toulouse,439671,323500,Retail,2025-Q1,2025-01
2025-01-21,Precision Manufacturing Tool,Production Machinery,Asia Pacific,Australia,Canberra,82741,89888,Mobile App,2025-Q1,2025-01
2025-01-21,Precision Manufacturing Tool,Industrial Equipment,Europe,Germany,Munich,603157,485756,Direct Sales,2025-Q1,2025-01
2025-01-21,High-Performance Engine Component,Supply Chain,Europe,United Kingdom,Leeds,285748,232696,Direct Sales,2025-Q1,2025-01
2025-01-21,Assembly Line Component,Automotive Parts,North America,Mexico,Puebla,258583,281283,Retail,2025-Q1,2025-01
2025-01-21,Warehouse Management System,Production Machinery,Europe,Germany,Hamburg,284039,269095,Mobile App,2025-Q1,2025-01
2025-01-22,Automotive Safety Module,Quality Control,Asia Pacific,Singapore,East,122501,171019,Mobile App,2025-Q1,2025-01
2025-01-22,CNC Machining Center,Supply Chain,North America,United States,Philadelphia,215351,271001,Partner,2025-Q1,2025-01
2025-01-22,Quality Assurance Software,Automotive Parts,Europe,France,Paris,360757,461527,Wholesale,2025-Q1,2025-01
2025-01-22,Automotive Safety Module,Industrial Equipment,North America,United States,Chicago,212193,267264,Partner,2025-Q1,2025-01
2025-01-23,Inventory Management Platform,Production Machinery,Asia Pacific,Japan,Nagoya,450777,561089,Direct Sales,2025-Q1,2025-01
2025-01-23,Automotive Safety Module,Supply Chain,Europe,Germany,Munich,247830,236141,Retail,2025-Q1,2025-01
2025-01-23,Automated Production Line,Supply Chain,North America,United States,Phoenix,314048,383287,Online,2025-Q1,2025-01
2025-01-23,Quality Inspection System,Production Machinery,Asia Pacific,Japan,Sapporo,354692,311243,Online,2025-Q1,2025-01
2025-01-23,Process Control Software,Supply Chain,Asia Pacific,Japan,Tokyo,304326,284191,Mobile App,2025-Q1,2025-01
2025-01-23,Industrial Robot System,Supply Chain,North America,Canada,Toronto,163314,145500,Partner,2025-Q1,2025-01
2025-01-24,Vehicle Diagnostic Tool,Supply Chain,Europe,United Kingdom,London,327773,380118,Direct Sales,2025-Q1,2025-01
2025-01-25,CNC Machining Center,Supply Chain,Europe,France,Toulouse,402862,463458,Direct Sales,2025-Q1,2025-01
2025-01-26,Precision Manufacturing Tool,Industrial Equipment,Europe,France,Paris,143471,110899,Mobile App,2025-Q1,2025-01
2025-01-26,High-Performance Engine Component,Automotive Parts,Europe,United Kingdom,Birmingham,190758,182142,Online,2025-Q1,2025-01
2025-01-27,Industrial Robot System,Supply Chain,Europe,Germany,Düsseldorf,408736,492961,Retail,2025-Q1,2025-01
2025-01-27,Industrial Robot System,Supply Chain,North America,Mexico,Mexico City,841976,631296,Direct Sales,2025-Q1,2025-01
2025-01-27,CNC Machining Center,Industrial Equipment,Asia Pacific,Japan,Kobe,420124,579767,Online,2025-Q1,2025-01
2025-01-28,Precision Manufacturing Tool,Production Machinery,Asia Pacific,Australia,Canberra,308388,420215,Retail,2025-Q1,2025-01
2025-01-28,Industrial Robot System,Industrial Equipment,Europe,Germany,Dortmund,285691,275703,Mobile App,2025-Q1,2025-01
2025-01-28,Inventory Management Platform,Supply Chain,Europe,France,Marseille,206939,272573,Online,2025-Q1,2025-01
2025-01-28,CNC Machining Center,Automotive Parts,North America,Canada,Edmonton,316501,288863,Direct Sales,2025-Q1,2025-01
2025-02-01,High-Performance Engine Component,Quality Control,Europe,United Kingdom,Manchester,619093,743526,Direct Sales,2025-Q1,2025-02
2025-02-01,Inventory Management Platform,Quality Control,Asia Pacific,Singapore,West,322063,326130,Direct Sales,2025-Q1,2025-02
2025-02-01,Quality Inspection System,Quality Control,Asia Pacific,Australia,Newcastle,285721,396207,Mobile App,2025-Q1,2025-02
2025-02-01,Inventory Management Platform,Supply Chain,Europe,Germany,Essen,110201,90032,Wholesale,2025-Q1,2025-02
2025-02-02,CNC Machining Center,Automotive Parts,North America,Mexico,Chihuahua,519245,522225,Mobile App,2025-Q1,2025-02
2025-02-02,CNC Machining Center,Automotive Parts,Europe,United Kingdom,Edinburgh,476256,567409,Online,2025-Q1,2025-02
2025-02-02,Heavy Machinery Equipment,Automotive Parts,Europe,France,Marseille,454467,596194,Partner,2025-Q1,2025-02
2025-02-02,Automotive Safety Module,Industrial Equipment,North America,Canada,Edmonton,309667,395856,Retail,2025-Q1,2025-02
2025-02-03,Automated Production Line,Industrial Equipment,Europe,Germany,Hamburg,341570,284779,Mobile App,2025-Q1,2025-02
2025-02-03,Automotive Safety Module,Automotive Parts,North America,Canada,Vancouver,319969,332804,Wholesale,2025-Q1,2025-02
2025-02-03,Automated Production Line,Industrial Equipment,Asia Pacific,Japan,Kawasaki,123325,130144,Retail,2025-Q1,2025-02
2025-02-03,Inventory Management Platform,Industrial Equipment,Asia Pacific,Australia,Brisbane,144105,111799,Online,2025-Q1,2025-02
2025-02-03,High-Performance Engine Component,Automotive Parts,North America,Canada,Montreal,428498,550486,Partner,2025-Q1,2025-02
2025-02-03,Quality Inspection System,Industrial Equipment,North America,United States,Houston,292856,323244,Mobile App,2025-Q1,2025-02
2025-02-04,Assembly Line Component,Production Machinery,North America,United States,New York,521217,534107,Retail,2025-Q1,2025-02
2025-02-04,CNC Machining Center,Production Machinery,Asia Pacific,Australia,Melbourne,105802,92743,Retail,2025-Q1,2025-02
2025-02-04,Quality Inspection System,Automotive Parts,Asia Pacific,Australia,Wollongong,486645,359125,Direct Sales,2025-Q1,2025-02
2025-02-05,Process Control Software,Industrial Equipment,Asia Pacific,Japan,Yokohama,368029,434118,Partner,2025-Q1,2025-02
2025-02-05,Vehicle Diagnostic Tool,Production Machinery,Europe,France,Bordeaux,317235,363700,Wholesale,2025-Q1,2025-02
2025-02-06,Heavy Machinery Equipment,Quality Control,Europe,United Kingdom,Birmingham,130580,127773,Retail,2025-Q1,2025-02
2025-02-06,Assembly Line Component,Supply Chain,Europe,France,Paris,84808,81454,Wholesale,2025-Q1,2025-02
2025-02-06,Precision Manufacturing Tool,Production Machinery,North America,Canada,Montreal,310897,310953,Online,2025-Q1,2025-02
2025-02-07,Quality Assurance Software,Production Machinery,Europe,France,Nantes,274652,215031,Partner,2025-Q1,2025-02
2025-02-07,Quality Inspection System,Quality Control,Europe,United Kingdom,London,163899,186697,Wholesale,2025-Q1,2025-02
2025-02-07,Warehouse Management System,Industrial Equipment,Europe,France,Toulouse,354308,414934,Retail,2025-Q1,2025-02
2025-02-07,Inventory Management Platform,Supply Chain,Europe,United Kingdom,Cardiff,362047,269450,Mobile App,2025-Q1,2025-02
2025-02-08,Quality Inspection System,Automotive Parts,Asia Pacific,Japan,Yokohama,185204,189845,Online,2025-Q1,2025-02
2025-02-08,Vehicle Diagnostic Tool,Automotive Parts,Asia Pacific,Australia,Melbourne,156536,127809,Direct Sales,2025-Q1,2025-02
2025-02-08,Warehouse Management System,Automotive Parts,North America,Mexico,Guadalajara,258808,254746,Online,2025-Q1,2025-02
2025-02-09,Inventory Management Platform,Production Machinery,Europe,United Kingdom,Bristol,444289,437781,Direct Sales,2025-Q1,2025-02
2025-02-09,Vehicle Diagnostic Tool,Industrial Equipment,Europe,United Kingdom,Sheffield,355681,370323,Partner,2025-Q1,2025-02
2025-02-09,Automotive Safety Module,Production Machinery,Europe,Germany,Dortmund,402892,355186,Retail,2025-Q1,2025-02
2025-02-09,Automated Production Line,Quality Control,North America,United States,Chicago,406237,503754,Retail,2025-Q1,2025-02
2025-02-10,Industrial Robot System,Quality Control,Asia Pacific,Australia,Sydney,141302,194066,Direct Sales,2025-Q1,2025-02
2025-02-10,Vehicle Diagnostic Tool,Supply Chain,Europe,United Kingdom,Sheffield,291293,290687,Retail,2025-Q1,2025-02
2025-02-10,Assembly Line Component,Production Machinery,Asia Pacific,Australia,Gold Coast,329377,407913,Partner,2025-Q1,2025-02
2025-02-10,Automated Production Line,Production Machinery,North America,Mexico,Zapopan,178489,126868,Mobile App,2025-Q1,2025-02
2025-02-10,CNC Machining Center,Quality Control,Europe,France,Nice,714090,743299,Direct Sales,2025-Q1,2025-02
2025-02-10,Precision Manufacturing Tool,Automotive Parts,North America,Mexico,Guadalajara,445367,459853,Online,2025-Q1,2025-02
2025-02-10,Quality Assurance Software,Supply Chain,Asia Pacific,Japan,Osaka,390683,531284,Direct Sales,2025-Q1,2025-02
2025-02-11,Automotive Safety Module,Supply Chain,North America,Canada,Hamilton,332152,295781,Wholesale,2025-Q1,2025-02
2025-02-11,Inventory Management Platform,Production Machinery,Europe,France,Marseille,179888,183722,Online,2025-Q1,2025-02
2025-02-11,Heavy Machinery Equipment,Quality Control,North America,United States,Philadelphia,271000,296735,Online,2025-Q1,2025-02
2025-02-12,Logistics Tracking System,Quality Control,Asia Pacific,Japan,Tokyo,116370,109105,Partner,2025-Q1,2025-02
2025-02-12,High-Performance Engine Component,Quality Control,North America,Mexico,Juárez,180315,215484,Mobile App,2025-Q1,2025-02
2025-02-12,Precision Manufacturing Tool,Quality Control,North America,Mexico,Chihuahua,517238,544077,Partner,2025-Q1,2025-02
2025-02-12,Quality Inspection System,Quality Control,North America,Canada,Toronto,302967,241887,Direct Sales,2025-Q1,2025-02
2025-02-12,Industrial Robot System,Supply Chain,Europe,United Kingdom,Glasgow,156247,146952,Retail,2025-Q1,2025-02
2025-02-13,High-Performance Engine Component,Industrial Equipment,Asia Pacific,Japan,Nagoya,279980,375236,Wholesale,2025-Q1,2025-02
2025-02-13,Precision Manufacturing Tool,Automotive Parts,North America,United States,Dallas,157264,192832,Wholesale,2025-Q1,2025-02
2025-02-13,High-Performance Engine Component,Automotive Parts,Asia Pacific,Singapore,East,205090,220905,Online,2025-Q1,2025-02
2025-02-14,Automotive Safety Module,Automotive Parts,North America,Canada,Vancouver,716915,583883,Direct Sales,2025-Q1,2025-02
2025-02-14,Assembly Line Component,Automotive Parts,North America,United States,Dallas,274272,200399,Retail,2025-Q1,2025-02
2025-02-14,Assembly Line Component,Quality Control,Europe,France,Toulouse,660298,734862,Direct Sales,2025-Q1,2025-02
2025-02-14,Logistics Tracking System,Automotive Parts,Asia Pacific,Japan,Tokyo,248013,251527,Partner,2025-Q1,2025-02
2025-02-15,Assembly Line Component,Industrial Equipment,North America,Mexico,Puebla,319641,345629,Retail,2025-Q1,2025-02
2025-02-15,Assembly Line Component,Industrial Equipment,Asia Pacific,Singapore,North,162277,200198,Online,2025-Q1,2025-02
2025-02-15,CNC Machining Center,Industrial Equipment,North America,Mexico,Tijuana,321173,306857,Online,2025-Q1,2025-02
2025-02-15,Vehicle Diagnostic Tool,Automotive Parts,North America,United States,San Antonio,287421,225654,Retail,2025-Q1,2025-02
2025-02-15,Warehouse Management System,Industrial Equipment,Europe,France,Toulouse,138242,98851,Online,2025-Q1,2025-02
2025-02-16,Automated Production Line,Quality Control,Asia Pacific,Singapore,North,156567,150364,Wholesale,2025-Q1,2025-02
2025-02-16,Warehouse Management System,Supply Chain,Europe,United Kingdom,Edinburgh,566860,708820,Direct Sales,2025-Q1,2025-02
2025-02-16,Automotive Safety Module,Quality Control,Asia Pacific,Japan,Osaka,420280,361265,Direct Sales,2025-Q1,2025-02
2025-02-16,Automotive Safety Module,Production Machinery,North America,Canada,Vancouver,180425,225150,Partner,2025-Q1,2025-02
2025-02-17,Automated Production Line,Quality Control,Asia Pacific,Australia,Wollongong,413222,340349,Retail,2025-Q1,2025-02
2025-02-17,Process Control Software,Automotive Parts,Asia Pacific,Singapore,East,210826,283351,Wholesale,2025-Q1,2025-02
2025-02-19,Process Control Software,Supply Chain,North America,United States,Phoenix,179080,137185,Wholesale,2025-Q1,2025-02
2025-02-19,Inventory Management Platform,Automotive Parts,Asia Pacific,Australia,Melbourne,629485,677922,Direct Sales,2025-Q1,2025-02
2025-02-19,Quality Assurance Software,Production Machinery,Asia Pacific,Japan,Saitama,214881,284862,Direct Sales,2025-Q1,2025-02
2025-02-19,Logistics Tracking System,Quality Control,Europe,Germany,Hamburg,116113,110904,Partner,2025-Q1,2025-02
2025-02-20,Warehouse Management System,Production Machinery,Europe,United Kingdom,Bristol,231854,195687,Retail,2025-Q1,2025-02
2025-02-20,Vehicle Diagnostic Tool,Automotive Parts,North America,Canada,Edmonton,230848,256527,Retail,2025-Q1,2025-02
2025-02-20,Logistics Tracking System,Automotive Parts,Europe,France,Montpellier,606960,624726,Direct Sales,2025-Q1,2025-02
2025-02-21,Automotive Safety Module,Supply Chain,Europe,United Kingdom,Leeds,181941,173944,Mobile App,2025-Q1,2025-02
2025-02-21,CNC Machining Center,Industrial Equipment,Europe,United Kingdom,Bristol,182699,239234,Partner,2025-Q1,2025-02
2025-02-21,Heavy Machinery Equipment,Production Machinery,Asia Pacific,Australia,Sydney,317606,414891,Partner,2025-Q1,2025-02
2025-02-22,Quality Assurance Software,Automotive Parts,North America,United States,San Jose,310737,269833,Mobile App,2025-Q1,2025-02
2025-02-22,Inventory Management Platform,Industrial Equipment,North America,United States,Dallas,107884,90545,Partner,2025-Q1,2025-02
2025-02-22,Heavy Machinery Equipment,Production Machinery,North America,Canada,Vancouver,353461,391946,Direct Sales,2025-Q1,2025-02
2025-02-22,Precision Manufacturing Tool,Industrial Equipment,Europe,United Kingdom,Manchester,308156,366850,Mobile App,2025-Q1,2025-02
2025-02-22,Vehicle Diagnostic Tool,Quality Control,Europe,Germany,Stuttgart,401072,451557,Online,2025-Q1,2025-02
2025-02-22,Automotive Safety Module,Quality Control,North America,United States,Dallas,440752,557045,Direct Sales,2025-Q1,2025-02
2025-02-22,Heavy Machinery Equipment,Quality Control,North America,United States,San Antonio,388858,412604,Online,2025-Q1,2025-02
2025-02-23,Warehouse Management System,Quality Control,Europe,France,Nice,112368,105983,Mobile App,2025-Q1,2025-02
2025-02-23,Process Control Software,Supply Chain,Europe,Germany,Düsseldorf,240477,238012,Partner,2025-Q1,2025-02
2025-02-23,High-Performance Engine Component,Industrial Equipment,Europe,France,Nice,286310,357416,Retail,2025-Q1,2025-02
2025-02-23,Industrial Robot System,Supply Chain,Europe,United Kingdom,Glasgow,111722,140276,Mobile App,2025-Q1,2025-02
2025-02-23,Assembly Line Component,Supply Chain,Asia Pacific,Australia,Melbourne,258414,217406,Retail,2025-Q1,2025-02
2025-02-24,Vehicle Diagnostic Tool,Quality Control,Europe,France,Marseille,613158,572088,Direct Sales,2025-Q1,2025-02
2025-02-24,Vehicle Diagnostic Tool,Automotive Parts,North America,United States,Houston,487317,649763,Online,2025-Q1,2025-02
2025-02-25,Heavy Machinery Equipment,Supply Chain,Europe,United Kingdom,Leeds,91798,75421,Mobile App,2025-Q1,2025-02
2025-02-25,Inventory Management Platform,Quality Control,Europe,France,Marseille,183540,224958,Partner,2025-Q1,2025-02
2025-02-25,High-Performance Engine Component,Automotive Parts,Europe,United Kingdom,Leeds,567270,593807,Direct Sales,2025-Q1,2025-02
2025-02-26,CNC Machining Center,Production Machinery,Europe,Germany,Munich,252424,270860,Partner,2025-Q1,2025-02
2025-02-26,Precision Manufacturing Tool,Production Machinery,Asia Pacific,Australia,Wollongong,519889,525260,Direct Sales,2025-Q1,2025-02
2025-02-27,Inventory Management Platform,Production Machinery,Europe,France,Strasbourg,111801,127736,Retail,2025-Q1,2025-02
2025-02-27,Vehicle Diagnostic Tool,Quality Control,Asia Pacific,Australia,Brisbane,167928,175473,Partner,2025-Q1,2025-02
2025-02-27,Inventory Management Platform,Quality Control,Asia Pacific,Singapore,Northeast,283714,224608,Partner,2025-Q1,2025-02
2025-02-27,Precision Manufacturing Tool,Quality Control,North America,Canada,Hamilton,372528,302149,Partner,2025-Q1,2025-02
2025-02-28,High-Performance Engine Component,Industrial Equipment,Asia Pacific,Japan,Tokyo,305776,394358,Mobile App,2025-Q1,2025-02
2025-03-01,Warehouse Management System,Supply Chain,Europe,Germany,Frankfurt,399612,383350,Online,2025-Q1,2025-03
2025-03-01,Warehouse Management System,Production Machinery,North America,United States,Phoenix,234529,315723,Wholesale,2025-Q1,2025-03
2025-03-01,Automated Production Line,Automotive Parts,Asia Pacific,Australia,Gold Coast,229482,279286,Direct Sales,2025-Q1,2025-03
2025-03-01,Automotive Safety Module,Quality Control,Europe,United Kingdom,Liverpool,704799,762603,Direct Sales,2025-Q1,2025-03
2025-03-01,Process Control Software,Supply Chain,North America,United States,Philadelphia,162816,133583,Direct Sales,2025-Q1,2025-03
2025-03-01,CNC Machining Center,Automotive Parts,Europe,France,Nice,379983,506891,Retail,2025-Q1,2025-03
2025-03-01,Quality Assurance Software,Supply Chain,Asia Pacific,Singapore,West,126937,150670,Retail,2025-Q1,2025-03
2025-03-02,High-Performance Engine Component,Industrial Equipment,North America,United States,San Antonio,396209,403202,Partner,2025-Q1,2025-03
2025-03-02,CNC Machining Center,Supply Chain,North America,Canada,Ottawa,494845,514313,Direct Sales,2025-Q1,2025-03
2025-03-02,Automated Production Line,Supply Chain,Europe,Germany,Berlin,133752,140004,Online,2025-Q1,2025-03
2025-03-02,Logistics Tracking System,Automotive Parts,Asia Pacific,Japan,Kawasaki,179179,198591,Wholesale,2025-Q1,2025-03
2025-03-03,Automotive Safety Module,Production Machinery,Europe,Germany,Cologne,291336,269423,Online,2025-Q1,2025-03
2025-03-03,Automotive Safety Module,Automotive Parts,Europe,France,Montpellier,542617,687214,Direct Sales,2025-Q1,2025-03
2025-03-03,Precision Manufacturing Tool,Supply Chain,Asia Pacific,Japan,Kyoto,414405,534033,Mobile App,2025-Q1,2025-03
2025-03-03,Automated Production Line,Automotive Parts,Asia Pacific,Japan,Kobe,164482,137951,Direct Sales,2025-Q1,2025-03
2025-03-04,Automated Production Line,Production Machinery,North America,United States,San Jose,323062,313296,Direct Sales,2025-Q1,2025-03
2025-03-04,High-Performance Engine Component,Supply Chain,North America,Canada,Calgary,380103,444421,Wholesale,2025-Q1,2025-03
2025-03-04,Process Control Software,Quality Control,North America,Mexico,Juárez,218570,227220,Wholesale,2025-Q1,2025-03
2025-03-05,Quality Inspection System,Production Machinery,Europe,Germany,Dortmund,226500,190729,Online,2025-Q1,2025-03
2025-03-05,Quality Inspection System,Supply Chain,Europe,France,Paris,382171,271854,Online,2025-Q1,2025-03
2025-03-05,CNC Machining Center,Quality Control,Asia Pacific,Japan,Kyoto,369210,368712,Direct Sales,2025-Q1,2025-03
2025-03-05,Industrial Robot System,Industrial Equipment,Asia Pacific,Australia,Canberra,105246,96809,Wholesale,2025-Q1,2025-03
2025-03-06,High-Performance Engine Component,Production Machinery,Europe,United Kingdom,Leeds,292422,408992,Wholesale,2025-Q1,2025-03
2025-03-06,Assembly Line Component,Production Machinery,North America,Canada,Winnipeg,330860,267328,Retail,2025-Q1,2025-03
